time,open,high,low,close,volume,atr,ema20,ema50,ema200,sma50,rsi,bb_upper,bb_middle,bb_lower,bb_width,bb_pct,adx,price_dist_ema20_atr,price_dist_ema50_atr,ema20_dist_ema50_atr,range_5,range_20,range_5_atr,range_20_atr,body_pct,upper_wick_pct,lower_wick_pct,vol3_change,hour,day_of_week,london_session,ny_session,asian_session,target
1780191000,4536.5,4536.5,4535.1,4535.1,6.9322,1.2835656490614555,4536.880135191702,4539.90833495982,4511.138067127795,4535.438,54.582859149419164,4536.174442321374,4533.485,4530.795557678625,0.0011864789764935242,0.8002481196873904,12.627366767948738,-1.3868672732112173,-3.746076379759709,-2.3592091065484917,5.100000000000364,6.400000000000546,3.9733067052156534,4.986110375172655,1,0,0,0.00048534051049013385,1,0,0,0,1,0
1780191900,4535.1,4535.5,4535,4535.1,1.9472,1.2275966741284945,4537.434408030587,4539.943302216298,4511.017290340454,4535.372,54.582859149419164,4536.174442321375,4533.485000000001,4530.795557678626,0.001186478976493524,0.8002481196872213,12.547588255581145,-1.9016083048972012,-3.9453529961185887,-2.0437446912213875,5.100000000000364,6.400000000000546,4.154458958290188,5.2134386927563865,0,0.7999999999992724,0.2000000000007276,0.00024261138067939211,1,0,0,0,1,0
1780192800,4535.1,4535.1,4535,4535,0.0249,1.1470540545479138,4538.059702503865,4539.949447227424,4510.915625759952,4535.324,54.027380062542775,4536.278815534854,4533.525000000001,4530.771184465147,0.0012148672544449875,0.7678102402522999,12.473508208382665,-2.6674440421824737,-4.314920650687537,-1.6474766085050632,5.100000000000364,6.400000000000546,4.446172331442931,5.579510376712775,1,0,0,-0.00037472171402116474,2,0,0,0,1,0
1780193700,4535,4535,4532.8,4532.8,5.9702,1.2222644792230497,4538.634968932069,4539.892606159681,4510.881639433982,4535.215999999999,43.531430502832116,4536.250270744893,4533.480000000001,4530.70972925511,0.0012221387300226773,0.3772683137099281,11.971697857208513,-4.773900437471243,-5.802840776482004,-1.0289403390107617,5.100000000000364,6.400000000000546,4.172583010219076,5.236182601059306,1,0,0,-0.0005071552997729226,2,0,0,0,1,1
1780194600,4532.9,4533.6,4532.9,4533.6,0.2256,1.1921027307071306,4539.098305224253,4539.834072584792,4510.8489863052855,4535.129999999999,47.52372709940525,4536.09246155611,4533.410000000002,4530.7275384438935,0.0011834189081102906,0.5354152326183479,11.5057311025468,-4.6122746661194896,-5.229475970660452,-0.6172013045409624,4.300000000000182,6.400000000000546,3.6070716803488163,5.368664826565911,1,0,0,-0.00033075345637361905,2,0,0,0,1,0
1780195500,4533.3,4533.4,4533.3,4533.3,1.093,1.1283811070852057,4539.307990440991,4539.797442287349,4510.866409327124,4535.027999999999,46.20450982103616,4535.9063756022715,4533.325000000001,4530.74362439773,0.001138844270936137,0.4951576206154281,11.07304768750378,-5.324433742523416,-5.758198401720162,-0.4337646591967459,3.699999999999818,6.400000000000546,3.2790339866266707,5.671842571463111,0,1,0,-0.00037486218302090806,2,0,0,0,1,0
1780196400,4533.4,4533.4,4533.2,4533.3,0.0677,1.0620681708648207,4539.592943732325,4539.76224847216,4510.944355502973,4534.935999999999,46.20450982103617,4535.880635843827,4533.305000000001,4530.7293641561755,0.0011363170330810273,0.49902936589172636,10.729081818486321,-5.925178726710532,-6.084589152970628,-0.15941042626009702,2.699999999999818,6.400000000000546,2.5422096943186445,6.025978534682152,0.49999999999772626,0,0.5000000000022737,0.00011030709495234734,3,0,0,0,1,1
1780197300,4532.7,4533.6,4532.7,4533.6,1.7465,1.050491872945944,4539.898377662579,4539.728434806585,4511.036451468118,4534.846,47.882385329707176,4535.9127138229305,4533.355000000001,4530.797286177072,0.0011283977640970735,0.5478943339560957,10.704714856072988,-5.99564625370775,-5.833871698025045,0.16177455568270482,2.300000000000182,6.400000000000546,2.1894505414403476,6.092384115312309,1,0,0,0,3,0,0,0,1,0
1780198200,4533.6,4533.6,4533.5,4533.5,1.6195,0.982599596306974,4540.174722647095,4539.695947167111,4511.151511652514,4534.779999999999,47.35221237555951,4535.932825152182,4533.405000000001,4530.877174847819,0.001115199348913817,0.5187908566218212,10.682088390974894,-6.792922236261505,-6.30566834181259,0.4872538944489163,2.300000000000182,6.400000000000546,2.3407296406843208,6.51333465233902,1,0,0,0.00004411797145563234,3,0,0,0,1,0
1780199100,4533.5,4533.6,4533,4533,0.5882,0.9552710537136447,4540.358082394991,4539.672576689969,4511.297267755474,4534.677999999999,44.68789256566531,4535.791022747044,4533.505,4531.218977252956,0.001008501257655486,0.38954615594854103,10.972264864347128,-7.702612118713108,-6.9850087721481255,0.717603346564983,0.9000000000005457,6.400000000000546,0.9421409729749152,6.699669141151461,0.8333333333328281,0.16666666666717195,0,-0.00006617695718354882,3,0,0,0,1,1
