time,open,high,low,close,volume
1780372800,4500.7,4507.5,4499.7,4507.5,163.991
1780373700,4507.5,4511.5,4507.5,4507.6,91.1205
1780374600,4507.5,4512.6,4505.9,4512.6,24.7523
1780375500,4512.4,4518.7,4512.4,4518.7,34.067
1780376400,4518.6,4520.7,4518.6,4520.2,18.1304
1780377300,4520.1,4522.8,4519,4522.6,6.6515
1780378200,4522.8,4528.4,4522.8,4525.8,77.3278
1780379100,4526,4527.2,4519,4519.5,199.4826
1780380000,4519.9,4525,4519.5,4521,33.9274
1780380900,4520.9,4534,4520.1,4534,164.4058
1780381800,4534,4538,4533.3,4534.3,116.7577
1780382700,4534,4537.4,4533.1,4536.7,23.594
1780383600,4536.8,4540.8,4535.3,4540.8,163.3674
1780384500,4540.6,4540.8,4534.5,4534.7,21.7986
1780385400,4534.6,4534.7,4532.8,4532.9,19.3224
1780386300,4532.9,4536,4530.1,4536,35.1082
1780387200,4536.7,4539.3,4534.8,4536.8,34.0878
1780388100,4536.6,4536.7,4531.1,4531.6,20.3361
1780389000,4531.5,4533.4,4530,4530.1,16.8757
1780389900,4530,4531.6,4527.3,4527.9,27.5685
1780390800,4527.9,4534.9,4526.7,4534.5,10.616
1780391700,4534.5,4535,4527.5,4527.6,29.2245
1780392600,4527.8,4527.9,4522.9,4525.4,61.6209
1780393500,4526.1,4531.9,4525.5,4530.9,26.8155
1780394400,4530.7,4532.3,4528.9,4529.7,47.4235
1780395300,4529.6,4530,4526.8,4528.6,36.5284
1780396200,4529,4529.6,4527.5,4529.6,39.3794
1780397100,4529.9,4534,4529.9,4534,13.0281
1780398000,4533.9,4534.8,4530.7,4530.7,57.3034
1780398900,4530.7,4531.3,4528.8,4531.2,14.2509
1780399800,4532,4533,4528.2,4528.6,18.2072
1780400700,4529.3,4532,4527.9,4528,72.0289
1780401600,4528.9,4530,4527,4527.6,10.2038
1780402500,4527.5,4535,4526.3,4531.3,12.4359
1780403400,4530,4534.9,4525,4526.6,37.7457
1780404300,4526.3,4527,4516,4516.1,97.4723
1780405200,4516.7,4525,4514.8,4515.6,22.8968
1780406100,4515.5,4517.5,4513,4513.1,113.7436
1780407000,4513.1,4515.5,4508.7,4510.3,53.5056
1780407900,4510.8,4513.9,4504.5,4504.8,84.4118
1780408800,4504.8,4507.5,4501,4506.7,122.851
1780409700,4506.7,4506.7,4492.4,4497.1,178.5346
1780410600,4498,4505.3,4497.3,4505.3,47.7753
1780411500,4506,4507.4,4503.6,4505.1,228.073
1780412400,4505,4509,4504.9,4505,186.9569
1780413300,4504.9,4507.1,4503.7,4506.9,38.527
1780414200,4506.9,4509.6,4503.3,4503.6,44.8988
1780415100,4503.6,4507.5,4503.3,4505.1,108.9471
1780416000,4505.1,4505.1,4499.6,4500.3,153.8936
1780416900,4500.3,4500.3,4492.8,4492.8,42.6721
1780417800,4492.7,4492.7,4487.7,4491.2,59.7174
1780418700,4491.2,4493.1,4491,4493.1,89.0384
1780419600,4493.1,4494.2,4487.6,4491.5,45.1243
1780420500,4491.2,4492.3,4487.1,4491.6,33.3203
1780421400,4491.1,4492.5,4484.1,4486.1,21.6083
1780422300,4486.1,4488.2,4484.2,4485.9,35.2721
1780423200,4486.2,4490,4485.9,4486.3,37.7228
1780424100,4485.9,4491.4,4484.9,4489.3,65.8426
1780425000,4489.2,4490,4480.7,4481.4,62.4245
1780425900,4481.4,4491,4481.4,4489.4,33.5497
1780426800,4489.4,4489.9,4489.4,4489.5,3.6362
1780427700,4489.4,4489.8,4486.7,4489.8,7.9507
1780428600,4490.4,4490.8,4484.7,4487.6,99.2377
1780429500,4488,4489.5,4487.7,4489.4,26.6471
1780430400,4489.5,4491.2,4488.3,4491.2,18.943
1780431300,4491.1,4492,4490.8,4491.6,37.4618
1780432200,4491.7,4492.7,4491.6,4491.9,31.8757
1780433100,4491.9,4491.9,4490.3,4491.2,15.3321
1780434000,4492,4492,4489.4,4490.1,23.4247
1780434900,4490,4490.7,4489,4490.4,26.7342
1780435800,4490.5,4491,4490,4490.3,6.8585
1780436700,4490.3,4490.3,4487.8,4487.8,7.954
1780437600,4489,4493.6,4489,4491.2,93.2455
1780438500,4490.9,4492.2,4490,4491,3.3757
1780439400,4491.3,4492,4490,4490.1,17.8792
1780440300,4491.1,4491.1,4485.9,4485.9,542.8998
1780441200,4485.5,4487.6,4475.8,4477.3,237.1776
1780442100,4477,4477.1,4462.3,4465.5,287.7782
1780443000,4468,4474.8,4463.2,4474.8,251.5392
1780443900,4474.6,4475,4469.6,4474.9,73.7915
1780444800,4475.4,4479.4,4475.2,4475.6,6.3036
1780445700,4476,4482.1,4475.1,4480.6,7.4428
1780446600,4482.7,4496.5,4482.7,4496,76.8074
1780447500,4496.3,4496.3,4488,4488,22.8354
1780448400,4487.4,4487.4,4468.5,4472.9,25.6779
1780449300,4472.2,4473.2,4466.2,4468.1,8.1295
1780450200,4468.2,4472.6,4467.8,4471.3,20.931
1780451100,4471.6,4477.1,4471.6,4476.4,7.0297
1780452000,4475.2,4481.1,4474.3,4481,9.9086
1780452900,4480.3,4480.8,4476.4,4478.9,7.971
1780453800,4477.9,4483.9,4475.9,4480.7,8.3582
1780454700,4479.6,4482.1,4474.7,4482.1,2.8758
1780455600,4482.1,4487.1,4482.1,4484.8,9.2568
1780456500,4485.3,4486.6,4484,4484,5.7072
1780457400,4484,4484.8,4483.9,4484.8,2.6084
1780458300,4484.9,4485.5,4482.6,4484,18.6436
1780459200,4484,4486.1,4484,4485.7,8.9408
1780460100,4485.8,4487.1,4478.4,4478.4,7.881
1780461000,4476.6,4476.6,4472.2,4472.4,19.1245
1780461900,4473,4473,4469.8,4470.1,153.9388
1780462800,4469.4,4473.8,4467.8,4473.8,33.2275
1780463700,4474.2,4474.3,4468.1,4468.3,5.9335
1780464600,4468,4468,4460.1,4462.4,163.5853
1780465500,4461.8,4467.3,4456.1,4456.7,259.425
1780466400,4457.2,4466.5,4457.1,4465.5,22.5374
1780467300,4466.2,4469.9,4460.2,4462.8,518.0519
1780468200,4462.6,4463.5,4458.8,4463.4,13.6957
1780469100,4460.3,4462.4,4456.1,4462.4,71.3368
1780470000,4462.5,4471.6,4461.2,4470.5,252.1292
1780470900,4468.9,4470,4458.2,4458.2,255.6677
1780471800,4457.5,4462.7,4456.5,4459.4,43.3525
1780472700,4459.7,4463.1,4455.1,4455.4,124.2386
